issue,subject,company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,access_management,"Access to a Claude team or enterprise workspace is controlled by your organization’s Owner, Primary Owner, or Admin. Since your seat was removed, your access must be restored by someone with those permissions. They can go to Organization settings > Organization, find your member record, and change Seat Type from Unassigned back to Enterprise seat. If your organization uses SCIM provisioning, the Owner may also need to restore the seat through the identity provider or purchase an additional seat if none are available. A human specialist can follow up once your organization’s Owner, Primary Owner, or Console Admin reaches out on your behalf.","The documentation in 'purchase and manage seats on enterprise plans' explains that unassigned members cannot use Claude until assigned an Enterprise seat, and 'how to get support' states that non-Owners/non-Admins must have a Primary Owner, Owner, or Console Admin contact support on their behalf. This is an access issue requiring admin action.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,screen,"HackerRank does not participate in hiring decisions and is not authorized to share test results or modify your hiring workflow. Requests to review or increase a test score, or to move a candidate to the next round, need to be handled by your recruiter or hiring team. Please contact the company that sent the assessment to discuss the result and any next steps.","Based on the 'Ensuring a Great Candidate Experience' article, HackerRank is not authorized to share test results or modify hiring workflow and redirects these requests to the recruiter or hiring team. The request is also an impossible hiring-decision change from a policy standpoint.",product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,billing,"This type of purchase dispute needs to be handled by your card issuer, not by Visa directly. Visa states that a cardholder disputes a transaction by contacting their issuer to question a charge on the billing statement. Visa also notes that it does not set up, service, or have access to cardholder or merchant accounts, and those are handled through the client financial institutions (the banks). Please contact your Visa card issuer to report the dispute and ask about next steps. If you have concerns involving a merchant, you can also use the Visa purchase issue form.","Based on the Visa support article stating that cardholders dispute transactions through their issuer, and the Visa Consumer Support note that Visa does not have access to cardholder or merchant accounts. The dispute resolution article was used for the issuer-dispute process, and the support article was used for the merchant concern form.",product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,billing,"This request has been escalated for review. The documentation confirms that mock interview credits are purchased through HackerRank Community, each mock interview uses one credit, and credits are valid for one year from the date of purchase. Since you’re requesting a refund for a mock interview that stopped midway, a support specialist will need to review the purchase and session details and follow up with next steps.","Used the HackerRank articles ""payments and billing faqs"" and ""purchase mock interviews"" for mock interview credit and purchase details. The corpus does not provide a self-service refund policy for a mock interview stopping midway, so this requires human review.",product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing,"This payment issue has been escalated to the billing team for review. If the charge was deducted incorrectly, the available billing guidance says it will be refunded within 5–10 business days. For invoice-related issues, you can also download receipts from HackerRank for Work > Manage Subscription > Order History, and if an invoice is missing, contact support@hackerrank.com.","The ticket is a billing/payment issue, which requires escalation under the support rules. The only relevant corpus guidance is from the 'payments and billing faqs' and 'manage subscriptions' articles, which cover failed payments, refunds, and invoice access but do not provide a direct resolution for an order-specific payment dispute.",product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,onboarding,"HackerRank can support your hiring process by helping you prepare candidates for assessments and by explaining how the platform works. The onboarding guidance recommends familiarizing candidates with HackerRank before the hiring process begins and communicating what they can expect and how long it may take. HackerRank for Work is also described as a Data Processor under GDPR FAQs, and the privacy policy is available at https://www.hackerrank.com/privacy. If your company needs to delete candidate data, a Company Admin can do this from the Candidates page, or bulk deletion requests can be submitted to support@hackerrank.com after logging in and using the Submit a Request form.","Used the 'Onboarding Candidates' article for candidate-preparation guidance and the 'GDPR FAQs for HackerRank for Work' article for privacy/data-processing and candidate deletion steps. The documentation does not include a form-filling service for company infosec reviews, so only documented support details can be provided.",product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,certifications,"To start using Certify, log in to SkillUp with your credentials, then go to the Certify tab. From there, select a role certification track and review the required practice challenges. You can solve the practice challenges at your own pace, and the AI tutor is available during practice. If you're working on a certification test, you can also use the optional Try Sample Test step to practice in the testing environment. For submitting work in the certification flow, open the question, write your solution, then click Run Tests and Submit. If you are not seeing the Apply tab, the documentation only confirms the Certify tab path in SkillUp and does not mention an Apply tab.","Based on the 'get started with certify' and 'obtain skill based certifications' articles, which describe the Certify tab flow, practice challenges, and submission steps. The corpus does not document an Apply tab, so the response is limited to the documented navigation and practice/submission steps.",product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,screen,"This looks like a platform issue affecting submissions across multiple challenges. Your report has been escalated to the support team for investigation, and a support engineer will follow up shortly. In the meantime, if the challenge page is also not loading or shows an infinite Processing message, the documented troubleshooting steps are to close the challenge window and reopen it using the same challenge link, try the challenge in another supported browser such as the latest versions of Chrome, Firefox, or Edge, and confirm your internet connection is stable.","The issue appears to be a system-wide submission failure, which should be escalated as a bug. The only relevant troubleshooting guidance in the corpus is from the Coding Challenges FAQs section on challenges not loading or showing an infinite Processing message.",bug
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,test_compatibility,"The pre-test compatibility page now detects WebSocket connectivity issues and provides guidance to resolve them before starting the test. Please open the HackerRank Compatibility page at https://www.hackerrank.com/compatibility and review the results to confirm that all parameters are configured correctly. If you still encounter compatibility problems or cannot access the listed domains, contact support@hackerrank.com and include a screenshot of the error message.","Based on the April 2026 release notes for WebSocket Connectivity Check on the Compatibility Page, plus the April 2024 Compatibility Check for Interviews article that directs candidates to the compatibility link and support@hackerrank.com for unresolved issues.",product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,screen,"Rescheduling a HackerRank assessment is managed by the hiring company, not by candidates directly. Please contact your recruiter or the company that sent you the assessment to request a new invitation with updated timing. HackerRank does not reschedule assessments or modify the hiring workflow, so your request will need to be handled by the hiring team. ",The 'ensuring a great candidate experience' article states that HackerRank is not authorized to reschedule assessments and redirects these requests to the recruiter or hiring team. This is also consistent with the assessment-vs-interview distinction in the provided documentation.,product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,escalated,interviews,"The documentation confirms that in HackerRank Interviews, candidates wait in the Virtual Lobby based on configured settings, and interviewers can admit them or move them back to the lobby. It also notes that candidates are automatically pushed back to the lobby when all interviewers leave. However, it does not provide the current inactivity timeout values or any setting to extend inactivity times for candidates or interviewers. Your request has been escalated to the support team for review, and they can confirm the configured behavior for your account or interview setup.","The available articles on Virtual Lobby, Candidate Lobby, and screen sharing explain lobby behavior and interviewer actions, but they do not document inactivity timeout settings or a way to change them. Since the docs do not contain enough information to answer the timeout question, escalation is required.",feature_request
"it’s not working, help",Help needed,,replied,troubleshooting,"If you're seeing an API connection error, it usually points to an issue on your end, such as firewall, network, or VPN settings. Try these steps: 1) Check whether any firewall rules or network restrictions are blocking the connection to the Claude API endpoint. 2) Update your firewall or network settings to allow the connection. 3) Make sure you're not using a VPN when running the request. If the issue continues, contact Support by clicking the message icon in the bottom right of the Help Center, or by clicking your initials in the lower left corner of your Claude Console account and selecting ""Get help.""","Based on the Claude support article ""I'm getting an API connection error. How can I fix it?"" in the Claude API and Console > Troubleshooting section, which provides specific troubleshooting steps and support contact instructions.",product_issue
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,replied,interviews,"To remove an interviewer’s access from an interview template, go to Interviews > Templates. Next, click the More options (⋮) menu next to the template and select Share. In the Share Interview Template dialog box, select the user or team you want to remove, then choose Remove User from the drop-down menu and click Confirm. If you’re trying to remove access from a question instead, open the question’s More options (⋮) menu, select Share, then choose Remove User and Confirm.","The HackerRank documentation in ""standardizing interviews using templates"" and ""share a question"" gives the exact steps for removing a user from an interview template or question. The user’s issue matches a normal interviews access-management question, and the docs provide a clear self-service answer.",product_issue
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,replied,billing,"To pause your HackerRank subscription, go to the profile icon in the top-right corner, select Settings, then open the Billing section under Subscription. Click Cancel Plan, and the UI will show the Pause Subscription option. Choose a pause duration between 1 month and 12 months, then click Confirm Pause. A confirmation message will show the pause duration and the automatic resume date. This feature is available for individual self-serve plan subscribers with an active subscription that started at least 30 days ago, including accounts in the 7-day renewal grace period, and for monthly plans such as Individual Monthly - Basic and Interview Monthly.","Based on the HackerRank article ""Pause Subscription"" and the related ""cancel subscription"" steps, which describe how to initiate and confirm a pause and list the eligibility requirements.",product_issue
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,escalated,troubleshooting,"Claude appears to be experiencing a system-wide service issue. This has been escalated to the support team for review, and a support engineer will follow up shortly. If you’re seeing a generic error while trying to use Claude, the troubleshooting article recommends checking the status page at http://status.claude.com for active incidents; if the issue is a capacity message, try again in a few minutes.","The documentation in 'Troubleshoot Claude error messages' says generic response failures can be caused by API failures or temporary service issues, and active incidents should be checked on the status page. Because the report says all requests are failing, this fits a system-wide outage/bug escalation.",bug
"My identity has been stolen, wat should I do",Identity Theft,Visa,replied,security,"Visit Visa’s Lost or Stolen card page to learn how to cancel your card or get an emergency replacement card if the identity theft involves your Visa card: /support/consumer/lost-stolen-card.html. Visa’s support team can assist with reporting and blocking a lost or stolen card and may be able to provide emergency services if applicable. If you’re traveling and the card is lost, stolen, damaged, or compromised, Visa says an emergency card is usually delivered within 1 to 3 days; for help, call the USA freephone number +1 800 847 2911 or use one of the global freephone numbers from the Travel Support page.","Based on the Visa support article ""My identity has been stolen – what should I do?"" and the related lost/stolen card guidance in the support corpus, which provide the specific next steps and emergency card information.",product_issue
Resume Builder is Down,Help in creating resume,HackerRank,escalated,general,"The Resume Builder appears to be unavailable right now. This has been escalated to the appropriate team for investigation, and a support engineer will follow up once there is an update. In the meantime, the documented Resume Builder steps are: log in to HackerRank Community, open the App Switcher, select Resume Builder, then choose either Import Resume or Create New to start building a resume.","The documentation for ""Create a Resume with Resume Builder"" provides the normal workflow, but it does not include troubleshooting steps for a service outage. Because the user reports the Resume Builder is down, this is treated as a platform issue requiring escalation.",bug
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,replied,certifications,"Yes — you can update the name on your certificate, but only once per account. The change applies to all of your certificates, and after you update it, you cannot change it again.

To update it:
1. Open your certificate page.
2. In the Full Name field, enter the name you want to display.
3. Click Regenerate Certificate.
4. In the confirmation dialog, click Update Name.

The platform will update your certificate with the new name.","Based on the Certifications FAQs article section ""Can I update the name on my certificate?"" which provides the one-time update rule and the exact steps to regenerate the certificate.",product_issue
How do I dispute a charge,Dispute charge,Visa,replied,billing,"To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card. The documentation notes that, in many cases, your issuer or bank will require detailed information about the transaction before resolving the disputed charge. For general dispute handling, Visa’s Dispute Resolution article explains that a cardholder disputes a transaction by contacting their issuer to question a charge on their billing statement.","Based on the FAQ entry ""How do I dispute a charge?"" in the support article and the ""Dispute Resolution"" article, which both direct cardholders to their issuer or bank for charge disputes.",product_issue
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,escalated,security,"This has been escalated to the Claude security team for review. The documentation confirms Claude has a Model Safety Bug Bounty Program for reporting publicly available jailbreaks and related safety vulnerabilities, and Claude Security is available for scanning codebases for security vulnerabilities. A support specialist will follow up with the appropriate next steps.","The Claude documentation includes the 'Model Safety Bug Bounty Program' and 'Claude Security' articles, but it does not provide a complete public submission procedure for a major security vulnerability report. Per the security vulnerability handling rule, this should be escalated as a bug.",bug
